,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
0,0,Indian-Institute-of-Technology-Bombay-IITB,Do only the students who start preparation for the JEE before class 11 get IIT Bombay and IT branches?,5,1,5/1,Yes,Followed,2020-07-22,/Do-only-the-students-who-start-preparation-for-the-JEE-before-class-11-get-IIT-Bombay-and-IT-branches,Well actually not….though I am a NEET aspirant (I have took a drop cause I concentrated much on boards back then) I feel like answering this .. I have seen many of my frnz who vre JEE aspirants started taking coaching right from class 8th itself!! Ya nw most of them r in NIT's….(even getting tat requires a Lott of hard work)… So wt I feel personally is the earlier u start …the more beneficial it will b fr u .. Bt still if u prepare Seriously (no any kind of distraction z) it's possible even when u study For 2 yrz… Wishing u all the best!!!! ,0.8388,Positive,5,0.05434782608695652,1,5
1,1,Indian-Institute-of-Technology-Bombay-IITB,How could I get into IIT Bombay? Is it possible? I have only been left with 2 months.,1,1,1/1,No,Followed,2020-07-21,/How-could-I-get-into-IIT-Bombay-Is-it-possible-I-have-only-been-left-with-2-months,"2 months and IIT Bombay, well umm what to say now, if you want it any how, focus on lower branches or BS coursed at Bombay, still you need a rank of around 3k. Look-up the opening closing ranks. For preparation,just solve the entire jee question papers for 8–10 years, plus keep revising and practicing. For you, you need to work 25hrs a day it's like that situation for you. Squeez every second of your time. Then you may expect to crack Bombay within 2 months. That's all I can say ",0.5423,Positive,4,0.010869565217391304,0,4
2,2,Indian-Institute-of-Technology-Bombay-IITB,Can Kalpit Veerwal stop begging for ratings in the Play Store in his app? What is he going to say about 6 CGPA performance in IIT Bombay?,15,1,15/1,Yes,Followed,2020-07-21,/Can-Kalpit-Veerwal-stop-begging-for-ratings-in-the-Play-Store-in-his-app-What-is-he-going-to-say-about-6-CGPA-performance-in-IIT-Bombay,"Hi, Nobody except Kalpit should be worried about / be told about his marks and cgpa in IITB College is a place for exploring things, not only studying. He runs a company along with his studies and that is a herculean task to pull off in itself. He is helping thousands of students through youtube and his app Acadboost. If u have any complaint regarding the app this is neither the way nor the place to vent out your jealousy/hatred for anybody! If you have any concern contact the customer service team of Acadboost instead of putting worthless questions on Quora He neither will nor does he need to provide an explanation for his marks. Their are many other reasons why I and many other students respect him. Lastly , Get a life buddy ",-0.3164,Negative,2,0.16304347826086957,1,1
3,3,Indian-Institute-of-Technology-Bombay-IITB,What are the subjects in aerospace engineering that IIT Bombay offers?,2,1,2/1,No,Followed,2020-07-20,/What-are-the-subjects-in-aerospace-engineering-that-IIT-Bombay-offers,"For such quarries in future as well, please visit their respective home page in this case Aerospace engineering, IIT Bombay. You will get latest update since basic subjects don't change frequently except electives. ",0.7351,Positive,5,0.021739130434782608,1,5
4,4,Indian-Institute-of-Technology-Bombay-IITB,What is the full form of KGP?,2,1,2/1,No,Followed,2020-07-20,/What-is-the-full-form-of-KGP,"Knibb, Gormezano, & Partners Kannada Ganaka Parishat Kill Gods People Khmer Gurlz Pride Kapitol G Productions Kanjeng Gusti Pangeran Knowing God Personally Karat Gold Plated Karat Gold Plate Killer Gentoo Penguins Kansas Guardianship Program Kart Grand Prix Khoob Ghumake Pelo Kids Going Places Kingspan Group Plc Knibb Gormezano Partners ",-0.5423,Negative,2,0.021739130434782608,1,1
5,5,Indian-Institute-of-Technology-Bombay-IITB,Can blaming the opposition in everything for the past six years help improve the situation?,1,1,1/1,No,Requested,2020-07-20,/Can-blaming-the-opposition-in-everything-for-the-past-six-years-help-improve-the-situation,"Who is blaming and what do you mean by improve the situation, First being a kanndiga why do you say lie that Kavirajamaraga is lie or Fake theory ,show your identity Anonymous ",-0.5267,Negative,2,0.010869565217391304,0,2
6,6,Indian-Institute-of-Technology-Bombay-IITB,What is the life of a student doing a B.Tech in aerospace engineering at IIT Bombay?,1,1,1/1,No,Followed,2020-07-20,/What-is-the-life-of-a-student-doing-a-B-Tech-in-aerospace-engineering-at-IIT-Bombay,Very Best career for students who completed AEROSPACE in IITB Very professionally they increase their career.. ,0.7939,Positive,5,0.010869565217391304,0,5
7,7,Indian-Institute-of-Technology-Bombay-IITB,"How hard are you preparing for the JEE 2020, 2021, and 2022?",4,1,4/1,Yes,Followed,2020-07-19,/How-hard-are-you-preparing-for-the-JEE-2020-2021-and-2022,"Honestly now during quarantine, it's does not look as hard as it is. Like on a busy day ( with coaching and extra curricular activities) if I'm studying 8 hours a day, it's a big deal. But now if I'm studying 8 hrs a day, I have more 8 left to do whatever I want. I honestly try to hit 6 cause I sleep a lot, but other than that I'm solving Irodov and DC pandey and solving 5 mocktests a week. Take inspiration. Study hard. Crack the exam. Hope this helps 😊 ",0.9876,Positive,5,0.043478260869565216,1,5
8,8,Indian-Institute-of-Technology-Bombay-IITB,"Which one is better, IIT Kanpur thermal engineering or IIT Bombay thermal?",1,1,1/1,No,Followed,2020-07-19,/Which-one-is-better-IIT-Kanpur-thermal-engineering-or-IIT-Bombay-thermal,IIT Bombay because better rank and better placements. ,0.7003,Positive,5,0.010869565217391304,0,5
9,9,Indian-Institute-of-Technology-Bombay-IITB,A school has 30% students from Maharashtra. Out of these 20% are Bombay students. What is the total percentage of Bombay students?,1,2,1/2,No,Followed,2020-07-18,/A-school-has-30-students-from-Maharashtra-Out-of-these-20-are-Bombay-students-What-is-the-total-percentage-of-Bombay-students,"Let as assume that the school has 100 students. In that 100 students 30% of students are from Maharashtra…. Do 30 students of the school are from Maharashtra.. In that 30 students 20% are Bombay students.. So, (30/100)×20= 6 6 students are Bombay students, so 6% of students are Bombay students. ",0.0,Neutral,3,0.010869565217391304,0,3
