Topic,Title,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link
PES-University-1,"Which is the best college for a BBA, IFIM or PES?",1,0,1/0,No,Followed,2020-06-18,https://www.quora.com/unanswered/Which-is-the-best-college-for-a-BBA-IFIM-or-PES
PES-University-1,Are vehicles allowed in PES university hostel? (north campus),1,1,1/1,No,Followed,2020-06-17,https://www.quora.com/Are-vehicles-allowed-in-PES-university-hostel-north-campus
PES-University-1,What is PESUs opinion on not cancelling exams? How do they intend to mint more money if the students are dead?,2,0,2/0,No,Followed,2020-06-14,https://www.quora.com/unanswered/What-is-PESUs-opinion-on-not-cancelling-exams-How-do-they-intend-to-mint-more-money-if-the-students-are-dead
PES-University-1,Why has PESU scored such a low ranking in the NIRF 2020? Most of the other Bangalore colleges have obtained a higher ranking.,1,1,1/1,No,Followed,2020-06-14,https://www.quora.com/Why-has-PESU-scored-such-a-low-ranking-in-the-NIRF-2020-Most-of-the-other-Bangalore-colleges-have-obtained-a-higher-ranking
PES-University-1,Why is the highest package offered at NIT Surathkal lower than RVCE and PES University in B.Tech CSE placements?,2,3,2/3,No,Followed,2020-06-11,https://www.quora.com/Why-is-the-highest-package-offered-at-NIT-Surathkal-lower-than-RVCE-and-PES-University-in-B-Tech-CSE-placements
PES-University-1,"Does PESU RR campus offer minors in management-related courses? If so, what details are available in this regard?",1,1,1/1,No,Followed,2020-06-11,https://www.quora.com/Does-PESU-RR-campus-offer-minors-in-management-related-courses-If-so-what-details-are-available-in-this-regard-1
PES-University-1,"Which is better for CSE, Nirma University or PES University?",1,1,1/1,No,Followed,2020-06-09,https://www.quora.com/Which-is-better-for-CSE-Nirma-University-or-PES-University
PES-University-1,How do you compare CSE PESIT vs RVCE IS?,1,0,1/0,No,Followed,2020-06-09,https://www.quora.com/unanswered/How-do-you-compare-CSE-PESIT-vs-RVCE-IS
PES-University-1,"Is the entire annual fee of PES University taken all at once every year, or is it taken semester by semester?",2,1,2/1,No,Followed,2020-06-09,https://www.quora.com/Is-the-entire-annual-fee-of-PES-University-taken-all-at-once-every-year-or-is-it-taken-semester-by-semester
PES-University-1,Is it possible to shift branches from EEE to ECE after the first year at PESU?,2,2,2/2,No,Followed,2020-06-08,https://www.quora.com/Is-it-possible-to-shift-branches-from-EEE-to-ECE-after-the-first-year-at-PESU
PES-University-1,What has PES University's response been with regards to exams during the COVID-19 pandemic?,13,29,13/29,No,Followed,2020-06-08,https://www.quora.com/What-has-PES-Universitys-response-been-with-regards-to-exams-during-the-COVID-19-pandemic
PES-University-1,When do the students of 6th Semester of PESIT south campus get chance to attend campus placement interviews? Are they allowed to write along with PESU students? Do they also get a chance for internship from the college along with PESU students?,2,1,2/1,No,Followed,2020-06-05,https://www.quora.com/When-do-the-students-of-6th-Semester-of-PESIT-south-campus-get-chance-to-attend-campus-placement-interviews-Are-they-allowed-to-write-along-with-PESU-students-Do-they-also-get-a-chance-for-internship-from-the
PES-University-1,"Which one should I choose between BMSCE, UVCE, and PES for CSE?",1,0,1/0,No,Followed,2020-06-05,https://www.quora.com/unanswered/Which-one-should-I-choose-between-BMSCE-UVCE-and-PES-for-CSE
PES-University-1,"Which university is better, MS Ramaiah University of Applied Sciences, PES University, or Jain University for a BBA/BCom (Bangalore)?",2,0,2/0,No,Followed,2020-06-09,https://www.quora.com/unanswered/Which-university-is-better-MS-Ramaiah-University-of-Applied-Sciences-PES-University-or-Jain-University-for-a-BBA-BCom-Bangalore
PES-University-1,Why is PES University placement cell not picking mails or calls of students who lost jobs due to covid-19? 25 plus companies have said they are withdrawing offers or not giving full time. other reputed institutions are helping students not like PES,5,1,5/1,Yes,Followed,2020-06-02,https://www.quora.com/Why-is-PES-University-placement-cell-not-picking-mails-or-calls-of-students-who-lost-jobs-due-to-covid-19-25-plus-companies-have-said-they-are-withdrawing-offers-or-not-giving-full-time-other-reputed-institutions
PES-University-1,What is PES University doing for students who lost jobs due to covid-19? Nearly 100 students have lost jobs and college is not responding to any mails or calls. Shame on the management and placement office.,5,1,5/1,Yes,Followed,2020-06-04,https://www.quora.com/What-is-PES-University-doing-for-students-who-lost-jobs-due-to-covid-19-Nearly-100-students-have-lost-jobs-and-college-is-not-responding-to-any-mails-or-calls-Shame-on-the-management-and-placement-office
PES-University-1,Is the PESSAT exam applicable for diploma students?,2,2,2/2,No,Followed,2020-06-02,https://www.quora.com/Is-the-PESSAT-exam-applicable-for-diploma-students
PES-University-1,How can I get PES 2019?,1,0,1/0,No,Followed,2020-06-02,https://www.quora.com/unanswered/How-can-I-get-PES-2019
PES-University-1,I am planning to do my M.Tech in ECE from PES University. Can I get placed in a good core company if I work hard?,3,1,3/1,No,Followed,2020-05-30,https://www.quora.com/I-am-planning-to-do-my-M-Tech-in-ECE-from-PES-University-Can-I-get-placed-in-a-good-core-company-if-I-work-hard
PES-University-1,Which college is best among PES and Jain University for a BBA admission?,1,2,1/2,No,Followed,2020-05-29,https://www.quora.com/Which-college-is-best-among-PES-and-Jain-University-for-a-BBA-admission
PES-University-1,Is the PES better than IFIM?,1,0,1/0,No,Followed,2020-06-18,https://www.quora.com/unanswered/Is-the-PES-better-than-IFIM
PES-University-1,"Which is the best college for a BBA, IFIM or PES?",1,1,1/1,No,Followed,2020-06-18,https://www.quora.com/Which-is-the-best-college-for-a-BBA-IFIM-or-PES
PES-University-1,Are vehicles allowed in PES university hostel? (north campus),1,1,1/1,No,Followed,2020-06-17,https://www.quora.com/Are-vehicles-allowed-in-PES-university-hostel-north-campus
PES-University-1,What is PESUs opinion on not cancelling exams? How do they intend to mint more money if the students are dead?,2,0,2/0,No,Followed,2020-06-14,https://www.quora.com/unanswered/What-is-PESUs-opinion-on-not-cancelling-exams-How-do-they-intend-to-mint-more-money-if-the-students-are-dead
PES-University-1,Why has PESU scored such a low ranking in the NIRF 2020? Most of the other Bangalore colleges have obtained a higher ranking.,1,1,1/1,No,Followed,2020-06-14,https://www.quora.com/Why-has-PESU-scored-such-a-low-ranking-in-the-NIRF-2020-Most-of-the-other-Bangalore-colleges-have-obtained-a-higher-ranking
PES-University-1,Why is the highest package offered at NIT Surathkal lower than RVCE and PES University in B.Tech CSE placements?,2,3,2/3,No,Followed,2020-06-11,https://www.quora.com/Why-is-the-highest-package-offered-at-NIT-Surathkal-lower-than-RVCE-and-PES-University-in-B-Tech-CSE-placements
PES-University-1,"Does PESU RR campus offer minors in management-related courses? If so, what details are available in this regard?",1,1,1/1,No,Followed,2020-06-11,https://www.quora.com/Does-PESU-RR-campus-offer-minors-in-management-related-courses-If-so-what-details-are-available-in-this-regard-1
PES-University-1,"Which is better for CSE, Nirma University or PES University?",1,1,1/1,No,Followed,2020-06-09,https://www.quora.com/Which-is-better-for-CSE-Nirma-University-or-PES-University
PES-University-1,How do you compare CSE PESIT vs RVCE IS?,1,0,1/0,No,Followed,2020-06-09,https://www.quora.com/unanswered/How-do-you-compare-CSE-PESIT-vs-RVCE-IS
PES-University-1,"Is the entire annual fee of PES University taken all at once every year, or is it taken semester by semester?",2,1,2/1,No,Followed,2020-06-09,https://www.quora.com/Is-the-entire-annual-fee-of-PES-University-taken-all-at-once-every-year-or-is-it-taken-semester-by-semester
PES-University-1,Is it possible to shift branches from EEE to ECE after the first year at PESU?,2,2,2/2,No,Followed,2020-06-08,https://www.quora.com/Is-it-possible-to-shift-branches-from-EEE-to-ECE-after-the-first-year-at-PESU
PES-University-1,What has PES University's response been with regards to exams during the COVID-19 pandemic?,13,29,13/29,No,Followed,2020-06-08,https://www.quora.com/What-has-PES-Universitys-response-been-with-regards-to-exams-during-the-COVID-19-pandemic
PES-University-1,When do the students of 6th Semester of PESIT south campus get chance to attend campus placement interviews? Are they allowed to write along with PESU students? Do they also get a chance for internship from the college along with PESU students?,2,1,2/1,No,Followed,2020-06-05,https://www.quora.com/When-do-the-students-of-6th-Semester-of-PESIT-south-campus-get-chance-to-attend-campus-placement-interviews-Are-they-allowed-to-write-along-with-PESU-students-Do-they-also-get-a-chance-for-internship-from-the
PES-University-1,"Which one should I choose between BMSCE, UVCE, and PES for CSE?",1,0,1/0,No,Followed,2020-06-05,https://www.quora.com/unanswered/Which-one-should-I-choose-between-BMSCE-UVCE-and-PES-for-CSE
PES-University-1,"Which university is better, MS Ramaiah University of Applied Sciences, PES University, or Jain University for a BBA/BCom (Bangalore)?",2,0,2/0,No,Followed,2020-06-09,https://www.quora.com/unanswered/Which-university-is-better-MS-Ramaiah-University-of-Applied-Sciences-PES-University-or-Jain-University-for-a-BBA-BCom-Bangalore
